id,WallOffset,Xaxis,Yaxis,AVG_Lux,W01,W02,W03
15435,1.6,1.590397,-145.258053,1040.582667,3.350745,2.18546,1.680049
15436,1.6,15.392144,-144.324439,1202.169333,15.536435,15.418508,15.445284
15437,1.6,11.941708,-144.324439,332.201333,12.123939,11.972447,12.007126
15438,1.6,8.491271,-144.324439,219.315,8.741284,8.529925,8.578835
15439,1.6,5.040834,-144.324439,327.109333,5.444373,5.098115,5.180035
15440,1.6,1.590397,-144.324439,1172.691333,2.585224,1.741541,1.969807
15441,1.6,15.392144,-143.390824,1203.608667,15.446034,15.418508,15.535689
15442,1.6,11.941708,-143.390824,329.288667,12.007875,11.972447,12.123198
15443,1.6,8.491271,-143.390824,220.128889,8.57958,8.529925,8.740552
15444,1.6,5.040834,-143.390824,327.231333,5.180768,5.098115,5.443676
15445,1.6,1.590397,-143.390824,1168.236667,1.970417,1.741542,2.584759
15446,1.6,15.392144,-142.45721,1053.874,15.411762,15.474936,15.681255
15447,1.6,11.941708,-142.45721,310.366667,11.963758,12.045031,12.309185
15448,1.6,8.491271,-142.45721,214.767778,8.517724,8.631506,8.996742
15449,1.6,5.040834,-142.45721,309.756667,5.077675,5.266313,5.846171
15450,1.6,1.590397,-142.45721,1027.512667,1.680766,2.185461,3.350387
15451,1.7,15.292144,-145.158053,1057.496667,15.56548,15.366617,15.312042
15452,1.7,11.891708,-145.158053,316.415333,12.238102,11.984151,11.914307
15453,1.7,8.491271,-145.158053,213.745556,8.965716,8.615846,8.518729
15454,1.7,5.090834,-145.158053,310.907333,5.841483,5.288825,5.129593
15455,1.7,1.690397,-145.158053,1040.582667,3.314774,2.199197,1.783997
15456,1.7,15.292144,-144.291105,1202.169333,15.433086,15.317627,15.347842
15457,1.7,11.891708,-144.291105,332.201333,12.069263,11.92127,11.960283
15458,1.7,8.491271,-144.291105,219.315,8.733844,8.528166,8.582913
15459,1.7,5.090834,-144.291105,327.109333,5.47895,5.144752,5.235492
15460,1.7,1.690397,-144.291105,1172.691333,2.623679,1.825725,2.068887
15461,1.7,15.292144,-143.424158,1203.608667,15.348592,15.317627,15.43234
15462,1.7,11.891708,-143.424158,329.288667,11.961031,11.921271,12.068521
15463,1.7,8.491271,-143.424158,220.128889,8.583658,8.528166,8.733112
15464,1.7,5.090834,-143.424158,327.231333,5.236225,5.144752,5.47825
15465,1.7,1.690397,-143.424158,1168.236667,2.069505,1.825726,2.623192
15466,1.7,15.292144,-142.55721,1053.874,15.312793,15.366617,15.564741
15467,1.7,11.891708,-142.55721,310.366667,11.915059,11.984152,12.237371
15468,1.7,8.491271,-142.55721,214.767778,8.51948,8.615846,8.965003
15469,1.7,5.090834,-142.55721,309.756667,5.130342,5.288825,5.840827
15470,1.7,1.690397,-142.55721,1027.512667,1.784714,2.199198,3.314389
15471,1.8,15.192144,-145.058053,1039.635833,15.449382,15.258839,15.213744
15472,1.8,11.841708,-145.058053,309.810833,12.166892,11.92401,11.866462
15473,1.8,8.491271,-145.058053,216.3075,8.934986,8.601321,8.521659
15474,1.8,5.140834,-145.058053,306.5075,5.838283,5.313594,5.184136
15475,1.8,1.790397,-145.058053,1022.585,3.284503,2.221868,1.892809
15476,1.8,15.192144,-144.257772,1132.711667,15.329764,15.216808,15.250507
15477,1.8,11.841708,-144.257772,320.427778,12.014638,11.870178,11.913558
15478,1.8,8.491271,-144.257772,219.315,8.726525,8.526536,8.587119
15479,1.8,5.140834,-144.257772,314.945556,5.513964,5.191665,5.291051
15480,1.8,1.790397,-144.257772,1104.054444,2.665749,1.912015,2.168565
15481,1.8,15.192144,-143.457491,1133.612778,15.251257,15.216808,15.329018
15482,1.8,11.841708,-143.457491,319.652222,11.914306,11.870178,12.013896
15483,1.8,8.491271,-143.457491,220.128889,8.587864,8.526537,8.725793
15484,1.8,5.140834,-143.457491,316.616111,5.291783,5.191665,5.513262
15485,1.8,1.790397,-143.457491,1099.755,2.169189,1.912015,2.665242
15486,1.8,15.192144,-142.65721,1036.116667,15.214496,15.258839,15.448642
15487,1.8,11.841708,-142.65721,305.714167,11.867213,11.92401,12.16616
15488,1.8,8.491271,-142.65721,217.6225,8.522409,8.601321,8.934271
15489,1.8,5.140834,-142.65721,305.080833,5.184884,5.313595,5.837619
15490,1.8,1.790397,-142.65721,1006.301667,1.893525,2.221869,3.284092
15491,1.9,15.092144,-144.958053,986.639333,15.33371,15.151614,15.116131
15492,1.9,11.791708,-144.958053,312.830556,12.096297,11.864617,11.81948
15493,1.9,8.491271,-144.958053,216.685556,8.905274,8.587936,8.52576
15494,1.9,5.190834,-144.958053,310.097222,5.837222,5.34059,5.240497
15495,1.9,1.890397,-144.958053,965.76,3.260091,2.253204,2.005694
15496,1.9,15.092144,-144.224439,1054.602,15.226472,15.116052,15.15328
15497,1.9,11.791708,-144.224439,320.427778,11.960066,11.819169,11.866953
15498,1.9,8.491271,-144.224439,219.315,8.719328,8.525037,8.591452
15499,1.9,5.190834,-144.224439,314.945556,5.549409,5.238847,5.346707
15500,1.9,1.890397,-144.224439,1023.354667,2.711267,2.000138,2.26876
15501,1.9,15.092144,-143.490824,1055.556,15.154029,15.116052,15.225726
15502,1.9,11.791708,-143.490824,319.652222,11.867701,11.819169,11.959324
15503,1.9,8.491271,-143.490824,220.128889,8.592196,8.525037,8.718595
