Case,OverlapChecked,TableType,AVG_Lux,W01,W02,W03,W04,W05,W06
44900,False,1,226,7.261205,7.081399,7.729405,10.049172,9.921548,10.39397
44900,False,1,366,4.534133,4.241519,5.252426,12.861257,12.761786,13.132428
44900,False,1,1022,2.127624,1.403537,3.40109,15.683532,15.602065,15.906663
45900,False,1,1060,15.57612,15.789608,15.501747,2.122212,3.355229,1.500001
45900,False,1,374,12.791638,13.051171,12.701398,4.554864,5.244098,4.30035
45900,False,1,223,10.016008,10.345933,9.901049,7.257665,7.708922,7.100699
45900,False,1,227,7.259388,7.708922,7.100699,10.014217,10.345933,9.901048
45900,False,1,372,4.556418,5.244099,4.30035,12.789811,13.051171,12.701397
45900,False,1,1038,2.122988,3.355229,1.5,15.574272,15.789608,15.501747
45900,False,1,1059,15.57612,15.501747,15.789289,2.121026,1.5,3.353729
45900,False,1,370,12.791639,12.701398,13.050785,4.554312,4.300349,5.243138
45900,False,1,227,10.016009,9.901049,10.345446,7.257318,7.100698,7.708269
45900,False,1,226,7.259389,7.100699,7.708269,10.013966,9.901048,10.345446
45900,False,1,366,4.556419,4.30035,5.243139,12.789615,12.701397,13.050785
45900,False,1,1022,2.12299,1.5,3.353729,15.574111,15.501747,15.78929
46900,False,1,1060,15.467214,15.672623,15.402063,2.126859,3.313203,1.603044
46900,False,1,374,12.720658,12.970052,12.641783,4.579976,5.237362,4.361467
46900,False,1,223,9.981714,10.298176,9.881542,7.257264,7.689061,7.121383
46900,False,1,227,7.259004,7.689061,7.121383,9.979912,10.298176,9.881542
